iter	Passed	Remaining
0	155	155305
1	156	77936
2	156	52175
3	157	39295
4	158	31547
5	159	26374
6	159	22674
7	160	19893
8	161	17734
9	161	16002
10	162	14593
11	163	13436
12	163	12439
13	164	11583
14	165	10855
15	165	10205
16	166	9632
17	167	9121
18	167	8661
19	168	8247
20	168	7875
21	169	7534
22	170	7221
23	170	6936
24	171	6675
25	171	6435
26	172	6219
27	173	6016
28	174	5826
29	174	5648
30	175	5483
31	175	5322
32	176	5172
33	177	5033
34	177	4900
35	178	4775
36	178	4657
37	179	4544
38	180	4436
39	180	4333
40	181	4237
41	181	4144
42	182	4057
43	183	3977
44	183	3897
45	184	3821
46	184	3747
47	185	3676
48	185	3608
49	186	3549
50	187	3488
51	188	3428
52	188	3370
53	189	3314
54	190	3264
55	190	3212
56	191	3161
57	191	3113
58	192	3068
59	193	3025
60	193	2981
61	194	2940
62	194	2899
63	195	2858
64	196	2820
65	196	2782
66	197	2745
67	197	2706
68	198	2672
69	198	2638
70	199	2605
71	199	2575
72	200	2547
73	201	2519
74	202	2491
75	202	2464
76	203	2437
77	203	2409
78	204	2383
79	204	2357
80	205	2331
81	206	2306
82	206	2282
83	207	2258
84	207	2233
85	208	2212
86	208	2191
87	210	2177
88	211	2159
89	211	2142
90	212	2122
91	213	2102
92	213	2082
93	214	2064
94	214	2046
95	215	2029
96	216	2013
97	216	1997
98	217	1980
99	218	1965
100	219	1949
101	219	1931
102	219	1915
103	220	1900
104	221	1885
105	221	1870
106	222	1856
107	223	1842
108	223	1829
109	224	1815
110	225	1802
111	225	1789
112	226	1777
113	227	1765
114	227	1753
115	228	1741
116	229	1729
117	229	1717
118	230	1705
119	231	1694
120	231	1683
121	232	1673
122	232	1660
123	233	1649
124	234	1638
125	234	1627
126	235	1617
127	235	1606
128	236	1597
129	237	1588
130	238	1579
131	238	1569
132	239	1559
133	239	1549
134	240	1539
135	240	1530
136	241	1521
137	241	1511
138	242	1501
139	242	1492
140	243	1483
141	244	1474
142	244	1466
143	245	1457
144	245	1450
145	246	1443
146	247	1435
147	248	1427
148	248	1420
149	249	1412
150	249	1405
151	250	1397
152	251	1390
153	251	1382
154	252	1374
155	252	1367
156	253	1359
157	253	1352
158	254	1346
159	255	1339
160	255	1332
161	256	1325
162	256	1318
163	257	1311
164	258	1305
165	258	1299
166	259	1292
167	259	1286
168	260	1279
169	260	1273
170	261	1268
171	262	1262
172	263	1257
173	263	1251
174	264	1246
175	264	1240
176	265	1234
177	265	1228
178	266	1222
179	267	1216
180	267	1209
181	267	1204
182	268	1198
183	269	1193
184	269	1187
185	270	1182
186	270	1176
187	271	1171
188	271	1166
189	272	1161
190	272	1155
191	273	1151
192	274	1146
193	274	1141
194	275	1136
195	275	1131
196	276	1127
197	277	1122
198	277	1118
199	278	1114
200	279	1109
201	279	1104
202	280	1099
203	280	1095
204	281	1091
205	282	1087
206	282	1083
207	283	1078
208	283	1074
209	284	1069
210	284	1065
211	285	1061
212	286	1057
213	286	1052
214	287	1048
215	287	1044
216	288	1040
217	288	1036
218	289	1032
219	289	1028
220	290	1023
221	291	1019
222	291	1016
223	292	1013
224	293	1009
225	293	1006
226	294	1002
227	294	998
228	295	994
229	295	990
230	296	987
231	297	983
232	297	979
233	298	975
234	298	972
235	299	968
236	299	965
237	300	962
238	301	958
239	301	955
240	302	951
241	302	948
242	303	945
243	304	941
244	304	938
245	305	935
246	305	932
247	306	929
248	307	926
249	307	923
250	308	920
251	309	918
252	309	915
253	310	911
254	311	909
255	311	906
256	312	903
257	312	900
258	313	897
259	314	894
260	314	891
261	315	888
262	315	885
263	316	882
264	317	879
265	318	877
266	318	874
267	319	871
268	319	869
269	320	866
270	321	863
271	321	861
272	322	858
273	323	856
274	323	853
275	324	850
276	324	847
277	325	844
278	325	842
279	326	839
280	327	837
281	327	834
282	328	831
283	328	829
284	329	826
285	329	823
286	330	821
287	331	818
288	331	815
289	332	813
290	332	810
291	333	808
292	333	805
293	334	802
294	334	800
295	335	798
296	336	795
297	337	794
298	337	791
299	338	789
300	338	787
301	339	784
302	340	782
303	340	779
